date, pm25
2022/6/4, 24
2022/6/5, 24
2022/6/6, 24
2022/6/7, 40
2022/6/8, 34
2022/6/9, 33
2022/6/10, 27
2022/6/11, 37
2022/6/12, 35
2022/6/13, 18
2022/6/14, 28
2022/6/15, 23
2022/6/16, 27
2022/6/17, 19
2022/6/18, 34
2022/6/19, 34
2022/6/20, 32
2022/6/21, 30
2022/6/22, 27
2022/6/23, 22
2022/6/24, 32
2022/6/25, 26
2022/6/26, 34
2022/6/27, 21
2022/6/28, 35
2022/6/29, 24
2022/6/30, 27
2022/7/1, 45
2022/1/4, 15
2022/1/5, 23
2022/1/6, 16
2022/1/7, 15
2022/1/8, 19
2022/1/9, 19
2022/1/10, 12
2022/1/11, 20
2022/1/12, 11
2022/1/13, 20
2022/1/14, 29
2022/1/15, 25
2022/1/16, 27
2022/1/17, 26
2022/1/18, 21
2022/1/19, 11
2022/1/20, 17
2022/1/21, 21
2022/1/22, 20
2022/1/23, 15
2022/1/24, 20
2022/1/25, 28
2022/1/26, 31
2022/1/27, 25
2022/1/28, 22
2022/1/29, 30
2022/1/30, 13
2022/1/31, 14
2022/2/1, 20
2022/2/2, 33
2022/2/3, 26
2022/2/4, 36
2022/2/5, 34
2022/2/6, 21
2022/2/7, 13
2022/2/8, 23
2022/2/9, 24
2022/2/10, 23
2022/2/11, 17
2022/2/12, 21
2022/2/13, 20
2022/2/14, 14
2022/2/15, 15
2022/2/16, 18
2022/2/17, 28
2022/2/18, 29
2022/2/19, 34
2022/2/20, 23
2022/2/21, 23
2022/2/22, 20
2022/2/23, 16
2022/2/24, 22
2022/2/25, 21
2022/2/26, 21
2022/2/27, 19
2022/2/28, 19
2022/3/1, 29
2022/3/2, 23
2022/3/3, 23
2022/3/4, 13
2022/3/5, 14
2022/3/6, 15
2022/3/7, 18
2022/3/8, 26
2022/3/9, 26
2022/3/10, 36
2022/3/11, 31
2022/3/12, 43
2022/3/13, 37
2022/3/14, 17
2022/3/15, 15
2022/3/16, 23
2022/3/17, 18
2022/3/18, 29
2022/3/19, 31
2022/3/20, 28
2022/3/21, 18
2022/3/22, 21
2022/3/23, 31
2022/3/24, 23
2022/3/25, 24
2022/3/26, 31
2022/3/27, 37
2022/3/28, 28
2022/3/29, 27
2022/3/30, 38
2022/3/31, 38
2022/4/1, 42
2021/10/2, 39
2021/10/3, 24
2021/10/4, 22
2021/10/5, 33
2021/10/6, 32
2021/10/7, 38
2021/10/8, 40
2021/10/9, 50
2021/10/10, 40
2021/10/11, 33
2021/10/12, 39
2021/10/13, 44
2021/10/14, 39
2021/10/15, 48
2021/10/16, 53
2021/10/17, 56
2021/10/18, 36
2021/10/19, 27
2021/10/20, 42
2021/10/21, 57
2021/10/22, 32
2021/10/23, 40
2021/10/24, 47
2021/10/25, 23
2021/10/26, 35
2021/10/27, 31
2021/10/28, 28
2021/11/13, 35
2021/11/14, 32
2021/11/15, 30
2021/11/16, 30
2021/11/17, 27
2021/11/18, 29
2021/11/19, 29
2021/11/20, 32
2021/11/21, 19
2021/11/22, 22
2021/11/23, 30
2021/11/24, 22
2021/11/25, 21
2021/11/26, 9
2021/12/2, 26
2021/12/3, 24
2021/12/4, 17
2021/12/5, 15
2021/12/6, 14
2021/12/7, 19
2021/12/8, 23
2021/12/9, 22
2021/12/10, 33
2021/12/11, 30
2021/12/12, 31
2021/12/13, 21
2021/12/14, 25
2021/12/15, 21
2021/12/16, 19
2021/12/21, 23
2021/12/22, 25
2021/12/23, 18
2021/12/24, 22
2021/12/27, 20
2021/12/28, 15
2021/12/29, 21
2021/12/30, 18
2021/12/31, 17
2022/1/1, 16
2022/1/2, 19
2022/1/3, 16
2021/7/2, 46
2021/7/3, 43
2021/7/4, 46
2021/7/5, 43
2021/7/6, 39
2021/7/7, 29
2021/7/8, 33
2021/7/9, 31
2021/7/10, 36
2021/7/11, 42
2021/7/12, 18
2021/7/13, 31
2021/7/14, 24
2021/7/15, 37
2021/7/16, 58
2021/7/17, 61
2021/7/18, 30
2021/7/19, 28
2021/7/20, 33
2021/7/21, 32
2021/7/22, 35
2021/7/23, 34
2021/7/24, 47
2021/7/25, 43
2021/7/26, 23
2021/7/27, 34
2021/7/28, 40
2021/7/29, 28
2021/7/30, 40
2021/7/31, 41
2021/8/1, 34
2021/8/2, 24
2021/8/3, 34
2021/8/4, 41
2021/8/5, 32
2021/8/6, 33
2021/8/7, 31
2021/8/8, 30
2021/8/9, 26
2021/8/10, 37
2021/8/11, 41
2021/8/12, 33
2021/8/13, 40
2021/8/14, 70
2021/8/24, 32
2021/8/25, 39
2021/8/26, 57
2021/8/27, 28
2021/8/28, 43
2021/8/29, 40
2021/8/30, 29
2021/8/31, 47
2021/9/1, 36
2021/9/2, 26
2021/9/3, 54
2021/9/4, 49
2021/9/5, 28
2021/9/6, 26
2021/9/7, 49
2021/9/8, 47
2021/9/9, 38
2021/9/10, 41
2021/9/11, 40
2021/9/12, 42
2021/9/13, 32
2021/9/14, 28
2021/9/15, 48
2021/9/16, 39
2021/9/17, 37
2021/9/18, 50
2021/9/19, 29
2021/9/21, 47
2021/9/22, 39
2021/9/23, 34
2021/9/24, 44
2021/9/25, 37
2021/9/26, 26
2021/9/27, 22
2021/9/28, 34
2021/9/29, 37
2021/9/30, 44
2021/10/1, 31
2021/4/2, 20
2021/4/3, 28
2021/4/4, 13
2021/4/5, 16
2021/4/6, 25
2021/4/7, 32
2021/4/8, 30
2021/4/9, 39
2021/4/10, 38
2021/4/11, 47
2021/4/12, 36
2021/4/13, 44
2021/4/14, 36
2021/4/15, 33
2021/4/16, 41
2021/4/17, 32
2021/4/19, 28
2021/4/20, 51
2021/4/21, 51
2021/4/22, 35
2021/4/23, 33
2021/4/24, 37
2021/4/25, 36
2021/4/26, 28
2021/4/27, 48
2021/4/28, 36
2021/4/29, 35
2021/4/30, 38
2021/5/1, 37
2021/5/2, 36
2021/5/3, 25
2021/5/4, 22
2021/5/5, 29
2021/5/6, 42
2021/5/7, 28
2021/5/8, 33
2021/5/9, 31
2021/5/10, 18
2021/5/11, 28
2021/5/12, 26
2021/5/13, 25
2021/5/14, 27
2021/5/15, 24
2021/5/16, 17
2021/5/17, 28
2021/5/18, 28
2021/5/19, 41
2021/5/20, 47
2021/5/21, 32
2021/5/22, 35
2021/5/23, 35
2021/5/24, 25
2021/5/25, 19
2021/5/26, 21
2021/5/27, 34
2021/5/28, 22
2021/5/29, 30
2021/5/30, 32
2021/5/31, 24
2021/6/1, 32
2021/6/2, 32
2021/6/3, 32
2021/6/4, 32
2021/6/5, 32
2021/6/6, 20
2021/6/7, 25
2021/6/8, 38
2021/6/9, 30
2021/6/10, 44
2021/6/11, 37
2021/6/12, 45
2021/6/13, 51
2021/6/14, 27
2021/6/15, 20
2021/6/16, 38
2021/6/17, 37
2021/6/18, 42
2021/6/19, 53
2021/6/20, 32
2021/6/21, 25
2021/6/22, 36
2021/6/23, 43
2021/6/24, 41
2021/6/25, 50
2021/6/26, 44
2021/6/27, 34
2021/6/28, 33
2021/6/29, 37
2021/6/30, 44
2021/7/1, 38
2021/1/5, 22
2021/1/6, 26
2021/1/7, 28
2021/1/8, 38
2021/1/9, 23
2021/1/10, 19
2021/1/11, 8
2021/1/12, 16
2021/1/13, 18
2021/1/14, 27
2021/1/15, 28
2021/1/16, 19
2021/1/17, 27
2021/1/18, 21
2021/1/19, 27
2021/1/20, 22
2021/1/21, 16
2021/1/22, 18
2021/1/23, 20
